Date Debut,Nom,Date,Date Fin,Durée,Durée en année
1804-05-18,Premier Empire,du 18 mai 1804 au 4 avril 1814,1814-04-04,3608 days,9.878165639972622
1814-06-04,Première Restauration,du 6 avril 1814 au 20 mars 1815,1815-03-20,289 days,0.7912388774811773
1815-03-20,Cent-Jours,du 20 mars 1815 au 7 juillet 1815,1815-07-07,109 days,0.29842573579739906
1815-08-07,Seconde Restauration,du 8 juillet 1815 au 2 août 1830,1830-02-08,5299 days,14.507871321013004
1830-09-08,Monarchie de Juillet,du 9 août 1830 au 24 février 1848,1848-02-24,6378 days,17.462012320328544
1848-02-24,Deuxième République,du 24 février 1848 au 2 décembre 1852,1852-02-12,1449 days,3.9671457905544147
1852-02-12,Second Empire,du 2 décembre 1852 au 4 septembre 1870,1870-04-09,6631 days,18.154688569472963
1870-04-09,Troisième République,du 4 septembre 1870 au 10 juillet 1940,1940-10-07,25748 days,70.49418206707735
1940-06-18,France libre puis France Combattante,du 18 juin 1940 au 3 juin 1943,1943-03-06,991 days,2.7132101300479126
1943-03-06,Comité français de la Libération nationale,du 3 juin 1943 au 3 juin 1944,1944-03-06,366 days,1.002053388090349
1944-03-06,Gouvernement provisoire de la République française,du 3 juin 1944 au 27 octobre 1946,1946-10-27,965 days,2.642026009582478
1946-10-27,Quatrième République,du 27 octobre 1946 au 4 octobre 1958,1958-04-10,4183 days,11.45242984257358
1958-04-10,Cinquième République,du 4 octobre 1958 à actuel,2020-12-13,22893 days,62.677618069815196
